epoch,loss,val_loss
0,5.401608744621277,4.8061699867248535
1,5.238320789813995,5.049217700958252
2,5.152737542629242,5.0849480628967285
3,5.0937860536575315,5.070594310760498
4,5.0389378218650815,5.093044757843018
5,4.997581997871399,5.163475036621094
6,4.9481449475288395,5.1034650802612305
7,4.913989818572998,4.947170257568359
8,4.877715478420257,5.093379020690918
9,4.844336336135864,4.992941856384277
10,4.814930428028107,5.007563591003418
11,4.782656187057495,4.913198947906494
12,4.7557035942077635,5.000437259674072
13,4.728149171829224,4.975776672363281
14,4.7089647779464725,4.857412338256836
15,4.672194205284119,4.947603702545166
16,4.650612199783326,5.0594964027404785
17,4.631470962524414,5.173954010009766
18,4.612377025604248,5.199598789215088
19,4.593625908136368,5.075733661651611
20,4.5730371608734135,4.95725154876709
21,4.549212444067002,4.885424613952637
22,4.524490175247192,4.9551920890808105
23,4.515923974037171,4.664266109466553
24,4.498246306657792,4.705113887786865
25,4.47256614279747,4.781053066253662
26,4.464237479448318,4.773614406585693
27,4.449175796985626,4.8085737228393555
28,4.4220907950401305,4.613030910491943
29,4.404435508489609,4.688943862915039
30,4.399049377679825,4.7816972732543945
31,4.381196877717972,4.839049339294434
32,4.362633132934571,4.96724796295166
33,4.415681353330612,4.738775253295898
34,4.390322874307633,4.950591564178467
35,4.375854741573334,4.769319534301758
36,4.363596406459808,4.871493339538574
37,4.3517419829368595,4.910296440124512
38,4.334271101951599,4.924588680267334
39,4.313026762008667,4.827743053436279
40,4.3071117069721225,4.894697189331055
41,4.297120494604111,4.8361496925354
42,4.280995049476624,5.057576656341553
43,4.269991182327271,4.67766809463501
44,4.261755074739456,4.8553385734558105
45,4.253737282037735,5.132958889007568
46,4.237850488901138,4.979088306427002
47,4.216846880197525,5.082430362701416
48,4.2205196099281315,4.794182777404785
49,4.1900549597740175,5.117324352264404
50,4.186688948631287,4.948878288269043
51,4.1745223431587215,4.990109920501709
52,4.167652994155884,5.223919868469238
53,4.157622882843017,4.7335991859436035
54,4.1515490543842315,5.242182731628418
55,4.13511013507843,4.813854217529297
56,4.131765976905823,4.887198448181152
57,4.1286584692001345,5.030484676361084
58,4.118260997772217,4.831536293029785
59,4.102446593523026,5.211972713470459
60,4.09767120552063,5.513314247131348
61,4.093150620937347,5.388528823852539
62,4.0780495717525485,4.931765556335449
63,4.08244049835205,4.963787078857422
64,4.0621949548721314,4.960320472717285
65,4.060495219230652,5.052244186401367
66,4.054222712039947,5.107668876647949
67,4.046197722196579,5.266842842102051
68,4.032535335302353,5.069647312164307
69,4.026871645450592,5.0215229988098145
70,4.253143656969071,4.692729949951172
71,4.241412664890289,5.114065647125244
72,4.238252856016159,4.661917686462402
73,4.225606597423553,4.987204074859619
74,4.22010458111763,4.531843185424805
75,4.204552928447724,4.811535358428955
76,4.191126678466797,4.8115081787109375
77,4.189276061296463,5.185457229614258
78,4.17762342429161,5.009106159210205
79,4.165224502086639,4.806044101715088
80,4.1479623529911045,5.0332183837890625
81,4.142023405075073,5.145382881164551
82,4.125769537687302,5.1910834312438965
83,4.123180365562439,5.031271934509277
84,4.116079963922501,5.1783905029296875
85,4.1078019714355465,4.925377368927002
86,4.108097603797913,5.394101619720459
87,4.100887380361557,5.164308071136475
88,4.085080901145935,5.261231422424316
89,4.0901241612434385,5.142355918884277
90,4.07208610868454,5.3182806968688965
91,4.064187878131866,5.058128833770752
92,4.050033963441849,5.285201072692871
93,4.055455258369446,5.114797592163086
94,4.0363428301811215,5.070261478424072
95,4.030007363080978,5.036328315734863
96,4.012094131231308,5.16594123840332
97,4.013702165126801,5.277047634124756
98,4.008206129550934,5.1935553550720215
99,4.014404651403427,4.9695024490356445
100,3.9987873907089235,5.322267055511475
101,3.9986827442646025,5.207491397857666
102,3.981755660533905,5.082560062408447
103,3.98390701341629,5.247487545013428
104,3.9694447841644287,5.292147636413574
105,3.9600946617126467,5.259943962097168
106,3.9643111629486083,5.297957420349121
107,3.9700811235904694,5.190684795379639
108,3.9594948394298553,5.205375671386719
